Cell_line,GENE,normZ,p-value,FDR,Treatment
HeLA,SLFN12L,-0.87,0.192,1.04,VE821
HeLA,SLFN13,0.99,0.84,0.992,VE821
HeLA,SLFN14,-1.46,0.0722,0.978,VE821
HeLA,SLFN5,-0.1,0.461,1.03,VE821
HeLA,SLFNL1,0.65,0.742,0.999,VE821
HeLA,SLIRP,-0.1,0.459,1.03,VE821
HeLA,SLIT1,0.5,0.692,1.01,VE821
HeLA,SLIT2,0.96,0.832,0.994,VE821
HeLA,SLIT3,-0.7,0.242,1.04,VE821
HeLA,SLITRK1,0.71,0.76,0.998,VE821
HeLA,SLITRK2,0.7,0.757,0.999,VE821
HeLA,SLITRK3,1.11,0.866,0.991,VE821
HeLA,SLITRK4,-0.18,0.429,1.03,VE821
HeLA,SLITRK5,0.15,0.558,1.02,VE821
HeLA,SLITRK6,1.04,0.85,0.993,VE821
HeLA,SLK,-0.01,0.494,1.02,VE821
HeLA,SLMAP,0.54,0.704,1,VE821
HeLA,SLMO1,0.68,0.751,1,VE821
HeLA,SLPI,0.24,0.597,1.02,VE821
HeLA,SLTM,1.16,0.876,0.992,VE821
HeLA,SLU7,-0.57,0.285,1.05,VE821
HeLA,SLURP1,-0.02,0.493,1.02,VE821
HeLA,SLX4,-0.12,0.453,1.03,VE821
HeLA,SLX4IP,-0.76,0.224,1.04,VE821
HeLA,SMAD1,0.66,0.745,1,VE821
HeLA,SMAD2,1.01,0.845,0.992,VE821
HeLA,SMAD3,-0.64,2.60E-01,1.04E+00,VE821
HeLA,SMAD4,0.09,0.536,1.02,VE821
HeLA,SMAD6,0.91,0.82,0.994,VE821
HeLA,SMAD7,0.96,0.832,0.994,VE821
HeLA,SMAD9,-0.09,0.462,1.03,VE821
HeLA,SMAGP,-0.99,0.16,1.03,VE821
HeLA,SMAP1,-2.16,0.0153,0.727,VE821
HeLA,SMARCA1,0.83,0.798,0.997,VE821
HeLA,SMARCA2,-0.25,0.401,1.04,VE821
HeLA,SMARCA4,0.14,0.555,1.02,VE821
HeLA,SMARCA5,-0.78,0.217,1.04,VE821
HeLA,SMARCAD1,-0.72,0.236,1.05,VE821
HeLA,SMARCAL1,1.17,0.878,0.992,VE821
HeLA,SMARCB1,1.78,0.962,0.995,VE821
HeLA,SMARCC1,-1.27,0.103,1,VE821
HeLA,SMARCC2,0.06,0.525,1.02,VE821
HeLA,SMARCD1,1.75,0.96,0.995,VE821
HeLA,SMARCD2,-1.6,0.0543,0.914,VE821
HeLA,SMARCD3,-1.02,0.153,1.03,VE821
HeLA,SMARCE1,1.32,0.907,0.992,VE821
HeLA,SMC1A,-0.07,0.471,1.03,VE821
HeLA,SMC1B,0.1,0.541,1.02,VE821
HeLA,SMC2,-0.94,0.174,1.03,VE821
HeLA,SMC3,1.17,0.88,0.991,VE821
HeLA,SMC4,-0.3,0.381,1.04,VE821
HeLA,SMC5,-1.11,0.134,1.02,VE821
HeLA,SMC6,2.22,0.987,0.996,VE821
HeLA,SMCHD1,1.91,0.972,0.995,VE821
HeLA,SMCO2,0.37,0.644,1.01,VE821
HeLA,SMCP,0.57,0.716,1,VE821
