Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,OOEP,-2.54,0.00554,0.768,AZD6738
HCT116,OPA1,1.18,0.881,0.988,AZD6738
HCT116,OPA3,0.42,0.662,0.991,AZD6738
HCT116,OPALIN,-0.15,0.439,1.02,AZD6738
HCT116,OPCML,-0.57,0.284,1.04,AZD6738
HCT116,OPHN1,-0.62,0.267,1.05,AZD6738
HCT116,OPN1SW,-0.95,0.17,1.08,AZD6738
HCT116,OPN3,0.47,0.681,0.99,AZD6738
HCT116,OPN4,-0.7,0.242,1.06,AZD6738
HCT116,OPN5,0.28,0.611,0.995,AZD6738
HCT116,OPRD1,-1.39,0.0826,1.08,AZD6738
HCT116,OPRK1,1.53,0.938,0.995,AZD6738
HCT116,OPRL1,-1.19,0.117,1.08,AZD6738
HCT116,OPRM1,1.1,0.865,0.987,AZD6738
HCT116,OPTC,1.15,0.875,0.987,AZD6738
HCT116,OPTN,0.57,0.714,0.988,AZD6738
HCT116,OR10A3,-1.16,0.122,1.08,AZD6738
HCT116,OR10A4,0.57,0.714,0.988,AZD6738
HCT116,OR10A7,-1.44,0.0742,1.07,AZD6738
HCT116,OR10AD1,-0.79,0.215,1.07,AZD6738
HCT116,OR10AG1,-0.88,0.19,1.07,AZD6738
HCT116,OR10C1,-1.01,0.156,1.08,AZD6738
HCT116,OR10G3,1.03,0.849,0.986,AZD6738
HCT116,OR10J1,0.09,0.536,1,AZD6738
HCT116,OR10J3,-0.32,0.373,1.03,AZD6738
HCT116,OR10J5,0.4,0.655,0.992,AZD6738
HCT116,OR10K1,1.2,0.885,0.989,AZD6738
HCT116,OR10K2,0.39,0.653,0.992,AZD6738
HCT116,OR10P1,-0.98,0.163,1.08,AZD6738
HCT116,OR10Q1,-0.26,0.399,1.02,AZD6738
HCT116,OR10R2,1.26,0.896,0.989,AZD6738
HCT116,OR10S1,-0.88,0.19,1.07,AZD6738
HCT116,OR10T2,-0.67,0.25,1.06,AZD6738
HCT116,OR10V1,0.27,0.608,0.995,AZD6738
HCT116,OR10W1,0.87,0.808,0.984,AZD6738
HCT116,OR10X1,0.77,0.78,0.984,AZD6738
HCT116,OR10Z1,0.22,0.587,0.998,AZD6738
HCT116,OR11A1,0.59,0.723,0.988,AZD6738
HCT116,OR11H4,-1.17,0.121,1.08,AZD6738
HCT116,OR11H6,-0.36,0.36,1.03,AZD6738
HCT116,OR11L1,-1,0.16,1.08,AZD6738
HCT116,OR12D2,0.7,0.758,0.985,AZD6738
HCT116,OR12D3,-0.69,0.244,1.06,AZD6738
HCT116,OR13A1,1.02,0.847,0.986,AZD6738
HCT116,OR13C3,1.39,0.918,0.993,AZD6738
HCT116,OR13C4,-0.07,0.47,1.01,AZD6738
HCT116,OR13C8,-0.48,0.317,1.03,AZD6738
HCT116,OR13F1,0.61,0.73,0.989,AZD6738
HCT116,OR13G1,0.36,0.639,0.99,AZD6738
HCT116,OR13H1,0.24,0.597,0.996,AZD6738
