Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1-hTER_p53,MLH1,0.86,0.805,0.972,AZD6738
RPE1-hTER_p53,MLH3,-0.67,0.253,1.18,AZD6738
RPE1-hTER_p53,MLIP,0.29,0.614,1,AZD6738
RPE1-hTER_p53,MLKL,0.04,0.515,1.04,AZD6738
RPE1-hTER_p53,MLLT1,-1.8,0.0359,1.2,AZD6738
RPE1-hTER_p53,MLLT10,-0.59,0.279,1.15,AZD6738
RPE1-hTER_p53,MLLT11,-0.72,0.234,1.18,AZD6738
RPE1-hTER_p53,MLLT3,0.17,0.568,1.02,AZD6738
RPE1-hTER_p53,MLLT4,-0.08,0.469,1.05,AZD6738
RPE1-hTER_p53,MLLT6,0.79,0.786,0.976,AZD6738
RPE1-hTER_p53,MLN,0.24,0.594,1.01,AZD6738
RPE1-hTER_p53,MLNR,0.67,0.749,0.979,AZD6738
RPE1-hTER_p53,MLPH,0.48,0.686,0.987,AZD6738
RPE1-hTER_p53,MLST8,0.51,0.696,0.986,AZD6738
RPE1-hTER_p53,MLX,0.72,0.766,0.977,AZD6738
RPE1-hTER_p53,MLXIP,-0.49,0.313,1.13,AZD6738
RPE1-hTER_p53,MLXIPL,2.28,0.989,0.996,AZD6738
RPE1-hTER_p53,MLYCD,0.85,0.801,0.973,AZD6738
RPE1-hTER_p53,MMAA,1.29,0.901,0.97,AZD6738
RPE1-hTER_p53,MMAB,0.84,0.8,0.973,AZD6738
RPE1-hTER_p53,MMACHC,0.06,0.522,1.04,AZD6738
RPE1-hTER_p53,MMD,0.4,0.657,0.991,AZD6738
RPE1-hTER_p53,MMD2,0.26,0.604,1,AZD6738
RPE1-hTER_p53,MME,-0.75,0.228,1.18,AZD6738
RPE1-hTER_p53,MMEL1,0.3,0.617,1,AZD6738
RPE1-hTER_p53,MMGT1,0.62,0.733,0.979,AZD6738
RPE1-hTER_p53,MMP1,-1.56,0.0595,1.26,AZD6738
RPE1-hTER_p53,MMP10,0.71,0.76,0.978,AZD6738
RPE1-hTER_p53,MMP11,-0.68,0.249,1.17,AZD6738
RPE1-hTER_p53,MMP13,1.15,0.874,0.969,AZD6738
RPE1-hTER_p53,MMP14,-0.06,0.477,1.05,AZD6738
RPE1-hTER_p53,MMP15,0.53,0.701,0.985,AZD6738
RPE1-hTER_p53,MMP16,-0.52,0.301,1.14,AZD6738
RPE1-hTER_p53,MMP17,1.41,0.921,0.972,AZD6738
RPE1-hTER_p53,MMP19,-1.43,0.0761,1.24,AZD6738
RPE1-hTER_p53,MMP2,-0.6,0.275,1.16,AZD6738
RPE1-hTER_p53,MMP21,-0.29,0.385,1.09,AZD6738
RPE1-hTER_p53,MMP23B,-0.56,0.289,1.15,AZD6738
RPE1-hTER_p53,MMP24,-0.9,0.183,1.21,AZD6738
RPE1-hTER_p53,MMP25,0.83,0.796,0.974,AZD6738
RPE1-hTER_p53,MMP26,1.16,0.876,0.97,AZD6738
RPE1-hTER_p53,MMP27,0.84,0.799,0.973,AZD6738
