Cell_line,GENE,normZ,p-value,FDR,Treatment
293A,RNF7,2.33,0.99,0.998,AZD6738
293A,RNF8,0.18,0.572,1.01,AZD6738
293A,RNFT1,0.45,0.674,1.01,AZD6738
293A,RNFT2,-0.35,0.362,1.04,AZD6738
293A,RNH1,0.74,0.771,0.995,AZD6738
293A,RNLS,-1.28,0.101,1.01,AZD6738
293A,RNMT,1.33,0.907,0.992,AZD6738
293A,RNMTL1,1.34,0.91,0.993,AZD6738
293A,RNPC3,0.95,0.828,0.993,AZD6738
293A,RNPEP,1.06,0.856,0.993,AZD6738
293A,RNPEPL1,-0.5,0.307,1.04,AZD6738
293A,ROBO1,0.28,0.611,1.01,AZD6738
293A,ROBO2,0.87,8.08E-01,0.992,AZD6738
293A,ROBO3,-0.23,0.41,1.04,AZD6738
293A,ROBO4,-0.43,0.334,1.04,AZD6738
293A,ROCK1,-0.87,0.191,1.03,AZD6738
293A,ROCK2,0.54,0.707,1,AZD6738
293A,ROGDI,-1.16,0.123,1.02,AZD6738
293A,ROM1,0.73,0.767,0.996,AZD6738
293A,ROMO1,-1.06,0.145,1.01,AZD6738
293A,ROPN1B,-0.63,0.264,1.04,AZD6738
293A,ROPN1L,-0.2,0.42,1.03,AZD6738
293A,ROR1,-0.13,0.448,1.03,AZD6738
293A,ROR2,-0.77,0.22,1.03,AZD6738
293A,RORA,0.93,0.825,0.994,AZD6738
293A,RORB,-1.38,0.0831,1,AZD6738
293A,RORC,0.19,0.574,1.01,AZD6738
293A,ROS1,0.66,0.746,0.998,AZD6738
293A,RP1,-0.29,0.384,1.04,AZD6738
293A,RP1L1,1.05,0.853,0.994,AZD6738
293A,RP2,0.19,0.574,1.01,AZD6738
293A,RP9,1.06,0.855,0.993,AZD6738
293A,RPA1,-0.31,0.377,1.04,AZD6738
293A,RPA2,-3.4,0.000338,0.238,AZD6738
293A,RPA4,0.38,0.646,1.01,AZD6738
293A,RPAIN,-0.55,0.291,1.05,AZD6738
293A,RPAP1,1.3,0.902,0.993,AZD6738
293A,RPAP2,-1.29,0.099,1.01,AZD6738
293A,RPAP3,-0.88,0.19,1.03,AZD6738
293A,RPE,-1.47,0.0709,0.984,AZD6738
293A,RPE65,0.41,0.66,1.01,AZD6738
293A,RPF1,1.57,0.941,0.994,AZD6738
293A,RPGR,1.19,0.883,0.993,AZD6738
293A,RPGRIP1,-0.86,0.195,1.03,AZD6738
293A,RPGRIP1L,0.5,0.692,1.01,AZD6738
293A,RPH3A,0.47,0.681,1.01,AZD6738
293A,RPH3AL,0.92,0.821,0.994,AZD6738
293A,RPIA,-2.21,0.0137,0.762,AZD6738
293A,RPL14,-1.76,0.0395,0.93,AZD6738
293A,RPL18,-1.97,0.0242,0.859,AZD6738
293A,RPL28,0.38,0.648,1.01,AZD6738
293A,RPL36A,0.05,0.519,1.02,AZD6738
293A,RPL3L,-0.87,0.192,1.03,AZD6738
293A,RPL8,0.3,0.619,1.01,AZD6738
