Cell_line,GENE,normZ,p-value,FDR,Treatment
MCF10A,UCKL1,0.37,0.643,1,AZD6738
MCF10A,UCMA,1.21,0.887,0.992,AZD6738
MCF10A,UCN,0.09,0.535,1.01,AZD6738
MCF10A,UCN2,0.52,0.698,0.993,AZD6738
MCF10A,UCN3,1.27,0.898,0.993,AZD6738
MCF10A,UCP1,0.48,0.686,0.993,AZD6738
MCF10A,UCP2,-1.56,0.0598,1.04,AZD6738
MCF10A,UCP3,-0.01,0.497,1.02,AZD6738
MCF10A,UEVLD,-1.51,0.0656,1.04,AZD6738
MCF10A,UFC1,-0.15,0.442,1.02,AZD6738
MCF10A,UFD1L,-0.51,0.306,1.05,AZD6738
MCF10A,UFL1,1,0.841,0.989,AZD6738
MCF10A,UFM1,-1.13,0.13,1.06,AZD6738
MCF10A,UFSP1,1.28,0.899,0.993,AZD6738
MCF10A,UFSP2,1.27,0.897,0.993,AZD6738
MCF10A,UGCG,0.27,0.608,1,AZD6738
MCF10A,UGDH,-0.42,0.336,1.04,AZD6738
MCF10A,UGGT1,-0.51,0.307,1.05,AZD6738
MCF10A,UGGT2,-0.22,0.413,1.02,AZD6738
MCF10A,UGP2,-0.36,0.359,1.03,AZD6738
MCF10A,UGT2A1,0.21,0.584,1,AZD6738
MCF10A,UGT3A1,-1.8,0.036,0.964,AZD6738
MCF10A,UGT3A2,-1.05,0.148,1.07,AZD6738
MCF10A,UGT8,2.05,0.98,0.997,AZD6738
MCF10A,UHMK1,-0.05,0.479,1.02,AZD6738
MCF10A,UHRF1BP1,0.52,0.699,0.993,AZD6738
MCF10A,UHRF1BP1L,-1.3,0.0976,1.07,AZD6738
MCF10A,UHRF2,-1.51,0.0657,1.05,AZD6738
MCF10A,UIMC1,-1.09,0.139,1.07,AZD6738
MCF10A,ULBP3,-1.2,0.114,1.07,AZD6738
MCF10A,ULK1,1.59,0.944,0.994,AZD6738
MCF10A,ULK2,0.71,0.761,0.994,AZD6738
MCF10A,ULK3,-0.89,0.187,1.07,AZD6738
