Cell_line,GENE,normZ,p-value,FDR,Treatment
HCT116,C1QC,1.43,0.924,0.995,VE821
HCT116,C1QL1,0.43,0.666,1.01,VE821
HCT116,C1QL2,0.44,0.668,1,VE821
HCT116,C1QL3,-0.01,0.497,1.01,VE821
HCT116,C1QL4,0.68,0.752,0.999,VE821
HCT116,C1QTNF1,0.47,0.683,1,VE821
HCT116,C1QTNF2,1.09,0.863,0.994,VE821
HCT116,C1QTNF3,1.34,0.91,0.994,VE821
HCT116,C1QTNF4,-1.25,0.107,0.999,VE821
HCT116,C1QTNF5,2.16,0.985,0.999,VE821
HCT116,C1QTNF6,-0.52,0.302,1.03,VE821
HCT116,C1QTNF7,-0.65,0.257,1.04,VE821
HCT116,C1QTNF8,0.29,0.615,1.01,VE821
HCT116,C1RL,1.5,0.933,0.995,VE821
HCT116,C1S,-0.76,0.224,1.02,VE821
HCT116,C2,-0.92,0.178,1,VE821
HCT116,C20orf112,0.59,0.723,1,VE821
HCT116,C20orf141,0.9,0.817,0.996,VE821
HCT116,C20orf144,1.67,0.952,0.996,VE821
HCT116,C20orf166,0.82,0.794,0.999,VE821
HCT116,C20orf173,0.26,0.604,1.01,VE821
HCT116,C20orf194,1.25,0.894,0.994,VE821
HCT116,C20orf195,-0.73,0.234,1.02,VE821
HCT116,C20orf196,-1.56,0.0598,0.987,VE821
HCT116,C20orf197,-0.9,0.185,1,VE821
HCT116,C20orf201,0.65,0.741,1,VE821
HCT116,C20orf202,0.47,0.681,1,VE821
HCT116,C20orf24,-1.03,0.152,0.996,VE821
HCT116,C20orf26,-0.36,0.361,1.02,VE821
HCT116,C20orf27,0.47,0.68,1,VE821
HCT116,C20orf78,-0.72,0.235,1.02,VE821
HCT116,C20orf85,0.06,0.522,1.01,VE821
HCT116,C20orf96,0.68,0.752,0.999,VE821
HCT116,C21orf128,-0.31,0.378,1.02,VE821
HCT116,C21orf2,0.74,0.772,0.999,VE821
HCT116,C21orf33,-0.27,0.393,1.02,VE821
HCT116,C21orf58,-0.37,0.357,1.02,VE821
HCT116,C21orf62,0.57,0.715,0.999,VE821
HCT116,C21orf91,-0.84,0.201,1.01,VE821
HCT116,C22orf15,-1.16,0.124,0.999,VE821
HCT116,C22orf23,0.07,0.53,1.01,VE821
HCT116,C22orf24,-0.35,0.362,1.02,VE821
HCT116,C22orf26,0.49,0.686,1,VE821
HCT116,C22orf29,1.02,0.845,0.996,VE821
HCT116,C22orf31,0.71,0.762,0.998,VE821
HCT116,C22orf39,-0.19,0.426,1.02,VE821
HCT116,C22orf46,-0.04,0.485,1.01,VE821
HCT116,C2CD2,-0.57,0.284,1.03,VE821
HCT116,C2CD2L,0.23,0.592,1.01,VE821
HCT116,C2CD3,-0.49,0.311,1.02,VE821
HCT116,C2CD4A,0.31,0.623,1.01,VE821
HCT116,C2CD4B,0.04,0.518,1.01,VE821
HCT116,C2CD4C,-0.87,0.193,1.01,VE821
HCT116,C2CD4D,-1.23,0.11,0.993,VE821
HCT116,C2CD5,0.45,0.673,1,VE821
HCT116,C2orf16,1.57,0.942,0.996,VE821
HCT116,C2orf40,1.75,0.96,0.997,VE821
HCT116,C2orf42,-0.05,0.482,1.01,VE821
HCT116,C2orf43,1.67,0.952,0.996,VE821
HCT116,C2orf44,0.22,0.587,1.01,VE821
HCT116,C2orf47,-0.11,0.455,1.02,VE821
HCT116,C2orf48,-1.37,0.0854,0.989,VE821
HCT116,C2orf49,-0.13,0.447,1.02,VE821
HCT116,C2orf50,-0.75,0.228,1.02,VE821
HCT116,C2orf53,0.64,0.74,1,VE821
HCT116,C2orf54,0.75,0.775,0.998,VE821
HCT116,C2orf57,-1.14,0.127,0.997,VE821
HCT116,C2orf61,0.84,0.799,0.999,VE821
HCT116,C2orf62,0.07,0.529,1.01,VE821
HCT116,C2orf68,0.26,0.603,1.01,VE821
HCT116,C2orf69,1.01,0.844,0.996,VE821
HCT116,C2orf70,1.31,0.905,0.994,VE821
HCT116,C2orf71,0.61,0.731,1,VE821
HCT116,C2orf72,0.98,0.837,0.996,VE821
HCT116,C2orf73,0.53,0.703,1,VE821
HCT116,C2orf78,-0.56,0.287,1.03,VE821
HCT116,C2orf80,-0.37,0.355,1.02,VE821
HCT116,C2orf81,-3.26,0.000549,0.333,VE821
HCT116,C2orf82,-0.9,0.184,1,VE821
HCT116,C2orf83,1.08,0.861,0.994,VE821
HCT116,C2orf88,-0.12,0.452,1.02,VE821
HCT116,C2orf91,0.62,0.731,1,VE821
HCT116,C3,-0.84,0.201,1.01,VE821
HCT116,C3AR1,0.04,0.514,1.01,VE821
HCT116,C3orf14,-0.44,0.332,1.03,VE821
HCT116,C3orf17,-0.03,0.49,1.01,VE821
HCT116,C3orf18,-0.69,0.245,1.03,VE821
HCT116,C3orf20,-0.52,0.301,1.03,VE821
HCT116,C3orf22,-1.29,0.0981,1,VE821
HCT116,C3orf30,0.64,0.739,1,VE821
HCT116,C3orf35,-1.18,0.119,0.997,VE821
HCT116,C3orf38,-1.58,0.0576,0.973,VE821
HCT116,C3orf52,-0.22,0.411,1.02,VE821
HCT116,C3orf56,-0.88,0.188,1,VE821
HCT116,C3orf58,-0.78,0.218,1.02,VE821
HCT116,C3orf62,0.4,0.654,1.01,VE821
HCT116,C3orf67,-0.02,0.494,1.01,VE821
HCT116,C3orf70,-0.87,0.193,1.01,VE821
HCT116,C3orf72,0.77,0.779,0.998,VE821
HCT116,C4BPA,-1.33,0.0921,0.998,VE821
HCT116,C4BPB,-0.7,0.243,1.03,VE821
HCT116,C4orf17,-0.58,0.281,1.03,VE821
HCT116,C4orf19,0.59,0.723,1,VE821
HCT116,C4orf21,-3.38,0.000364,0.284,VE821
HCT116,C4orf22,0.06,0.523,1.01,VE821
HCT116,C4orf26,0.47,0.682,1,VE821
HCT116,C4orf29,-0.41,0.34,1.02,VE821
HCT116,C4orf3,-0.3,0.383,1.02,VE821
HCT116,C4orf32,0.29,0.615,1.01,VE821
HCT116,C4orf36,0.44,0.669,1,VE821
HCT116,C4orf40,1.1,0.864,0.994,VE821
HCT116,C4orf47,1.34,0.909,0.994,VE821
HCT116,C4orf48,1.55,0.94,0.996,VE821
HCT116,C4orf50,-1.08,0.14,1,VE821
HCT116,C5,1.32,0.906,0.994,VE821
HCT116,C5AR1,0.76,0.778,0.999,VE821
HCT116,C5AR2,-0.88,0.189,1.01,VE821
HCT116,C5orf15,-0.41,0.339,1.02,VE821
HCT116,C5orf22,0.32,0.624,1.01,VE821
HCT116,C5orf24,-0.01,0.497,1.01,VE821
HCT116,C5orf27,1.06,0.856,0.995,VE821
HCT116,C5orf28,-0.1,0.462,1.02,VE821
HCT116,C5orf30,-0.52,0.302,1.03,VE821
HCT116,C5orf34,0.72,0.766,0.998,VE821
HCT116,C5orf38,0.47,0.68,1,VE821
HCT116,C5orf42,-0.11,0.455,1.02,VE821
HCT116,C5orf45,0.65,0.743,1,VE821
HCT116,C5orf47,-1.03,0.153,0.992,VE821
HCT116,C5orf48,-0.17,0.434,1.02,VE821
HCT116,C5orf49,-1.74,0.0412,0.965,VE821
HCT116,C5orf51,0.66,0.746,0.999,VE821
HCT116,C5orf52,-1.27,0.103,0.999,VE821
HCT116,C5orf54,1.03,0.848,0.996,VE821
HCT116,C5orf55,-0.04,0.484,1.01,VE821
HCT116,C5orf56,0.14,0.554,1.01,VE821
HCT116,C6,-0.99,0.162,1,VE821
HCT116,C6orf10,0.76,0.777,0.998,VE821
HCT116,C6orf100,-0.13,0.45,1.02,VE821
HCT116,C6orf106,-2.43,0.00757,0.839,VE821
HCT116,C6orf118,0.2,0.581,1.01,VE821
HCT116,C6orf120,-0.91,0.183,1,VE821
HCT116,C6orf132,-0.96,0.168,1.01,VE821
HCT116,C6orf136,-1.33,0.0914,0.995,VE821
HCT116,C6orf141,0.72,0.765,0.998,VE821
HCT116,C6orf15,0.82,0.793,0.999,VE821
HCT116,C6orf163,-1.04,0.148,0.994,VE821
HCT116,C6orf164,-0.44,0.33,1.03,VE821
HCT116,C6orf195,0.56,0.711,0.999,VE821
HCT116,C6orf201,1.12,0.868,0.993,VE821
HCT116,C6orf211,0.75,0.773,0.998,VE821
HCT116,C6orf222,0.08,0.53,1.01,VE821
HCT116,C6orf223,-1.31,0.0949,0.995,VE821
HCT116,C6orf226,0.87,0.809,0.998,VE821
HCT116,C6orf25,-0.28,0.39,1.02,VE821
HCT116,C6orf47,-0.59,0.278,1.03,VE821
HCT116,C6orf48,-0.75,0.227,1.02,VE821
HCT116,C6orf52,-1.36,0.0864,0.987,VE821
HCT116,C6orf58,0.8,0.788,0.999,VE821
HCT116,C6orf62,-0.15,0.442,1.02,VE821
HCT116,C6orf89,0.98,0.837,0.996,VE821
HCT116,C6orf99,-1.15,0.126,0.999,VE821
HCT116,C7,-0.6,0.275,1.03,VE821
HCT116,C7orf10,-1.35,0.0883,0.983,VE821
HCT116,C7orf25,-1.66,0.0482,0.952,VE821
HCT116,C7orf26,0.31,0.622,1.01,VE821
HCT116,C7orf31,-0.87,0.193,1.01,VE821
