Cell_line,GENE,normZ,p-value,FDR,Treatment
RPE1_hTER_P53,TIFA,0.11,0.545,1.03,VE821
RPE1_hTER_P53,TIFAB,1.15,0.876,0.97,VE821
RPE1_hTER_P53,TIGD2,-0.03,0.486,1.06,VE821
RPE1_hTER_P53,TIGD3,-0.3,0.383,1.11,VE821
RPE1_hTER_P53,TIGD5,0.74,0.772,0.97,VE821
RPE1_hTER_P53,TIGD6,-1.34,0.0905,1.31,VE821
RPE1_hTER_P53,TIGD7,0.04,0.517,1.05,VE821
RPE1_hTER_P53,TIGIT,-0.45,0.326,1.16,VE821
RPE1_hTER_P53,TIMD4,0.24,0.596,1.01,VE821
RPE1_hTER_P53,TIMM10,0.61,0.73,0.977,VE821
RPE1_hTER_P53,TIMM10B,1.01,0.844,0.968,VE821
RPE1_hTER_P53,TIMM13,0.92,0.821,0.967,VE821
RPE1_hTER_P53,TIMM17A,1.13,0.87,0.969,VE821
RPE1_hTER_P53,TIMM17B,-0.04,0.483,1.06,VE821
RPE1_hTER_P53,TIMM21,1.4,0.919,0.976,VE821
RPE1_hTER_P53,TIMM22,-3.41,0.000325,0.049,VE821
RPE1_hTER_P53,TIMM23,-0.46,0.323,1.16,VE821
RPE1_hTER_P53,TIMM44,-1.26,0.104,1.28,VE821
RPE1_hTER_P53,TIMM50,-0.38,0.353,1.14,VE821
RPE1_hTER_P53,TIMM8B,0,0.5,1.06,VE821
RPE1_hTER_P53,TIMMDC1,0.03,0.511,1.05,VE821
RPE1_hTER_P53,TIMP1,0.19,0.575,1.02,VE821
RPE1_hTER_P53,TIMP2,0.38,0.646,0.995,VE821
RPE1_hTER_P53,TIMP3,-1.3,0.0974,1.29,VE821
RPE1_hTER_P53,TIMP4,-0.63,0.264,1.19,VE821
RPE1_hTER_P53,TINAG,1.41,0.921,0.976,VE821
RPE1_hTER_P53,TINAGL1,1.26,0.896,0.972,VE821
RPE1_hTER_P53,TINF2,0,0.499,1.06,VE821
RPE1_hTER_P53,TIPARP,-0.25,0.4,1.1,VE821
RPE1_hTER_P53,TIPRL,0.66,0.745,0.975,VE821
RPE1_hTER_P53,TIRAP,1.42,0.922,0.976,VE821
RPE1_hTER_P53,TJAP1,-1.1,0.136,1.26,VE821
RPE1_hTER_P53,TJP1,1.12,0.869,0.97,VE821
